"path","bytes","sha256"
".gitignore","116","4dfd320a28b2d3d4f994ff3873486ba3a0aead7de11626fd2ff85f0b784eace7"
"code/llm_for_shelter/__init__.py","336","8aa17f56b6df43e7be30c63efec5fcb184211ae8a1650da069fa42d2756700ff"
"code/llm_for_shelter/data_loader.py","12673","4507ea972e9bd5b634c6e74f4d791914d184302f8ebd39351bc621db1c2d445f"
"code/llm_for_shelter/experiments.py","8515","ae8652dfdeab91aaf26859d097e0760c8c8305196b12790911e66334a30005c5"
"code/llm_for_shelter/export.py","13888","13c105710e4ae7f4af77ec71e60c2451202838a65ce743a9f63ccc2728abb164"
"code/llm_for_shelter/llm_experiment/__init__.py","76","8abdb579fc0ea0911c79ac30e8ab82f4b2398e2aaecd20861daf4d7751f617c9"
"code/llm_for_shelter/llm_experiment/compare_prediction_to_gold.py","3197","ae3898b1cea0ffa154118558fa9c8fb673ce174c42282d932f40d8072f3a73eb"
"code/llm_for_shelter/llm_experiment/prompts/L1_direct_prompt.txt","425","669fd4c8260edd7a860ea273ba92d771bf30b8a95870c5dcb7a9fe1602a4ea09"
"code/llm_for_shelter/llm_experiment/prompts/L2_schema_prompt.txt","1160","4a828fb6c0a27120227a62f5489f8dd93476a5ef2b423a851bb306b535930d13"
"code/llm_for_shelter/llm_experiment/request_gold_template.csv","2403","207536d5f2efcb76ef5d2698f1b93355295e071dce3426b378b13363238e83f9"
"code/llm_for_shelter/llm_experiment/request_schema.json","586","95ddb7b956a45877e0da412ee5b18b7fb18a2d81b564e815d3a5f5fce30e298a"
"code/llm_for_shelter/llm_experiment/run_optimizer_from_request.py","2816","dd81bf2a7a1bf1f3e1575bf92eeb52ab994e8eebe7d568ba5b77cee9f197930c"
"code/llm_for_shelter/llm_experiment/schema/request_schema.json","1271","514c7ecad3e84a5f917688bfdb37293de69d174b07aecaa8c31cbc7ebb6a18f5"
"code/llm_for_shelter/llm_experiment/src/__init__.py","57","36431bf19775620756ea9268d17ce53bf3b06daf99552055bf3485b0b96c210b"
"code/llm_for_shelter/llm_experiment/src/llm_client.py","2171","b3278e4e71a2563aa3ced2f62c6706aeb8eb0d0ee7780e9abd71e05c25c3eb25"
"code/llm_for_shelter/llm_experiment/src/optimizer_adapter.py","3135","f2ebc286bbad7650f4f7fd96a4a149ebbdac645990bb8298992ffb93cd23d40f"
"code/llm_for_shelter/llm_experiment/src/parser.py","908","7f08a1f03445b642ab109dcd8f2cf72b1c1926657500119cbfcd2ad4dc1652f2"
